nombre_archivo,clasificacion
2 ingredientes - 2 recetas  Cereales y Galletas Choco Krispis  Saludables.wav.txt,Cereales y derivados
3 TRUCOS para Cocer Maíz  ¡ELOTES o CHOCLOS!.wav.txt,Cereales y derivados
3 TRUCOS para Cocer Tortellini  ¡PASTA RELLENA!.wav.txt,Cereales y derivados
aperitivos con hojaldre.txt,"Leche, huevo y derivados"
ARROZ A LA CUBANO La receta cubana que ha visto menos el caribe que los Vikingos.wav.txt,Cereales y derivados
Arroz al ajillo una receta riquisíma y diferente.wav.txt,Legumbres
bizcocho al peso un delicioso.txt,Legumbres
Como hacer Garbanzos Guisados una Receta Riquisíma y Fácil.wav.txt,Legumbres
Como hacer PESCADO al AJILLO   Cocina Dominicana .wav.txt,Legumbres
COMO HACER UNA ENSALADA DE FRUTAS MIXTA  ENSALADA SALUDABLE  COCTEL DE FRUTAS.wav.txt,"Carnes, pescados y verduras"
Crema de Coliflor con Amanda    Recetas Veganas  Lidl España.wav.txt,"Carnes, pescados y verduras"
Crema de Verduras Asadas    Recetas Veganas  Lidl España.wav.txt,"Carnes, pescados y verduras"
Crêpes de Espinacas con Verduras   Recetas Veganas  Lidl España.wav.txt,"Leche, huevo y derivados"
Cómo hacer TACOS  AL PASTOR Mexicanos Perfectos.wav.txt,"Carnes, pescados y verduras"
CÓMO HACER TORTILLA DE BERENJENAS  .wav.txt,Cereales y derivados
Después de hacer este Pollo no lo comerás de otra manera!.wav.txt,"Carnes, pescados y verduras"
El pollo guisado de MI ABUELA ¡La receta del guiso con una salsa para mojar pan!.wav.txt,"Carnes, pescados y verduras"
Ensalada de Alubias o Judías Super nutritiva .wav.txt,"Leche, huevo y derivados"
Ensalada de frutas  Receta ganadora.wav.txt,"Leche, huevo y derivados"
Ensalada de frutas y verduras  Recetas de cocina  Cocina de Martina.wav.txt,Cereales y derivados
Espaguetis a la boloñesa  Recetas de pasta.wav.txt,"Carnes, pescados y verduras"
Espaguetis a la puttanesca  Receta de pasta típica italiana.wav.txt,Cereales y derivados
Espaguetis al ajillo ​ Receta de pasta con sólo 5 ingredientes ​ ¡De las más fáciles de Arguiñano!.wav.txt,"Carnes, pescados y verduras"
flan de leche condensada.txt,"Leche, huevo y derivados"
Galletas de Avena listas en 1 Minuto al Microondas.wav.txt,"Leche, huevo y derivados"
Garbanzos con langostinos un guiso.txt,Cereales y derivados
GARBANZOS CON PUNTILLITAS Muy apetecibles.wav.txt,Legumbres
GARBANZOS CON TOMATE RECETA SALUDABLE NUTRITIVA Y FÁCIL Loli Domínguez - Recetas Paso a paso.wav.txt,"Carnes, pescados y verduras"
garbanzos_con_espinacas.txt,"Carnes, pescados y verduras"
Hacé Esto Para Que Tus Frijoles Queden Espesos Y Sabrosos   Receta de Frijoles (Porotos).wav.txt,Legumbres
He hecho CEREALES SANOS! REESES FROOT LOOPS Y GRANOLA .wav.txt,"Carnes, pescados y verduras"
JUDÍAS BLANCAS CON CHORIZO  Receta tradicional.wav.txt,"Carnes, pescados y verduras"
leche y chocolate un delicioso bizcocho.txt,"Leche, huevo y derivados"
MACARRONES CON CARNE MOLIDA Y TOMATE - pastas- recetas de cocina faciles rapidas y economicas.wav.txt,"Leche, huevo y derivados"
Macarrones con chorizo y salsa de tomate al vino tinto.wav.txt,Cereales y derivados
Macarrones con queso americanos  Mac and Cheese.wav.txt,"Carnes, pescados y verduras"
pastel de queso y melocotón un original pastel frío.txt,Legumbres
pintó un postre sin azúcar preparado súper rápido .txt,Legumbres
Pollo al chilindrón Receta tradicional.wav.txt,Legumbres
Pollo con ciruelas pasas.wav.txt,"Leche, huevo y derivados"
Pollo con pimientos - Una receta fácil y deliciosa.wav.txt,"Leche, huevo y derivados"
Pollo en salsa al ajillo ¡La receta DEFINITIVA que sorprenderá a todos!.wav.txt,Legumbres
PURÉ DE VERDURAS Come sano y facil.wav.txt,Cereales y derivados
Quesada un delicioso postre tradicional.txt,Cereales y derivados
quesadillas de leche.txt,"Leche, huevo y derivados"
Receta de Judiones de La Granja caseros   ED.wav.txt,"Leche, huevo y derivados"
RECETA EXPRESS Garbanzos en Salsa 5 minutos Super Fácil.wav.txt,"Carnes, pescados y verduras"
recetas tradicionales.txt,"Leche, huevo y derivados"
Si tienes  PLÁTANOS MADUROS  prepara esta dliciosa receta en 5 MINUTOS.wav.txt,"Leche, huevo y derivados"
vasitos de limón .txt,"Leche, huevo y derivados"
